tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
30.4,24.7,36.6,,,239.5,12.8,,998.1,
31.1,23.9,38.0,,,,9.7,,999.0,
32.3,27.3,37.8,,,,,,,
33.1,28.5,38.8,,,,,,,
33.1,30.0,40.6,,,,,,,
32.9,23.6,40.6,,,,8.8,,995.7,
32.4,26.5,39.9,,,,,,,
32.8,27.9,41.7,,,,,,,
32.6,26.5,41.4,,,231.0,15.1,,,
32.7,26.6,42.3,,,217.6,12.1,,,
33.0,25.3,42.2,,,,12.0,,998.4,
35.1,26.3,45.6,,,,,,,
34.6,28.2,44.0,,,,9.9,,996.6,
34.6,27.4,43.8,,,,8.9,,998.0,
35.3,31.7,41.8,,,,,,,
33.6,27.8,40.9,,,,,,,
33.1,26.8,40.7,,,,9.5,,998.0,
32.9,28.0,40.5,,,,,,996.8,
33.7,26.3,40.3,,,,8.3,,997.0,
33.8,28.8,41.3,,,,,,,
32.3,27.4,40.3,,,,,,,
33.9,26.2,42.2,,,226.7,11.8,,,
33.4,28.7,42.0,,,221.6,18.5,,,
32.9,27.0,40.7,,,,10.0,,,
33.0,28.8,39.1,,,,,,,
34.2,29.0,39.3,,,,,,,
34.6,,41.0,,,,,,,
34.7,28.0,45.2,,,222.2,13.9,,,
34.7,,41.2,,,,,,,
33.4,,38.8,,,,,,,
33.1,28.0,39.4,,,,11.0,,,
35.6,26.7,41.7,,,,,,,
36.3,22.5,42.2,,,100.6,12.8,,,
35.8,32.0,42.7,,,,13.2,,,
35.9,29.3,44.3,,,,,,,
36.3,30.1,44.5,,,,11.7,,,
35.2,29.1,,,,,,,,
37.8,29.3,45.4,,,,,,,
36.9,32.0,45.0,,,,15.1,,,
35.1,30.3,42.1,,,,,,,
35.3,28.0,43.2,,,228.1,9.7,,,
34.4,27.6,43.8,,,,,,,
37.4,30.2,43.1,,,,,,,
41.1,32.6,47.6,,,,,,,
38.6,33.7,45.8,,,,,,,
36.9,28.4,46.9,,,,,,,
36.2,32.8,45.2,,,,,,,
36.9,29.0,45.5,,,,,,,
37.2,29.2,44.0,,,,9.6,,,
37.9,30.9,45.0,,,95.5,15.1,,,
34.6,30.9,43.1,,,80.5,14.9,,,
34.6,26.6,43.6,,,,11.0,,,
33.9,27.6,39.5,,,,10.3,,,
35.5,28.5,43.1,,,,,,,
34.8,29.9,41.7,,,73.2,19.8,,,
33.2,28.9,39.3,,,,12.3,,,
33.1,28.2,40.1,,,350.3,15.4,,,
33.6,27.9,41.0,,,,9.5,,,
34.8,27.4,41.6,,,,13.7,,,
36.0,28.3,40.7,,,,10.9,,,
32.9,,43.2,,,,,,,
37.3,28.8,45.0,,,,,,,
36.8,31.1,42.0,,,93.9,13.8,,,
36.9,29.3,45.0,,,,8.8,,,
35.7,29.0,46.5,,,,10.2,,,
35.2,26.7,44.9,,,,10.1,,,
34.7,26.3,40.5,,,,,,,
34.7,26.2,44.9,,,,9.2,,,
33.4,25.9,45.2,,,,,,,
34.1,26.4,46.0,,,,11.8,,,
34.3,25.6,44.7,,,,11.7,,,
33.3,24.9,44.2,,,,,,,
32.9,23.5,39.3,,,,,,,
35.3,26.6,45.2,,,,9.5,,,
34.8,29.8,43.1,,,,14.9,,,
33.4,28.0,41.7,,,,11.2,,,
32.7,29.3,39.1,,,,14.4,,,
31.8,23.6,40.4,,,,9.8,,,
32.7,27.4,41.0,,,,,,,
33.8,24.9,43.0,,,,10.3,,,
34.7,28.0,42.7,,,,12.8,,,
34.3,31.7,42.9,,,,11.3,,,
34.5,28.8,43.4,,,,,,,
33.0,31.0,41.1,,,,,,,
34.1,27.0,42.4,,,,11.7,,,
33.6,26.0,41.5,,,,,,,
33.7,25.8,38.5,,,,,,,
33.6,27.8,40.8,,,,11.6,,,
34.2,27.7,41.6,,,,12.9,,,
33.3,26.6,41.6,,,,,,,
32.2,26.7,40.7,,,,,,,
32.2,25.2,40.1,,,259.8,10.8,,,
32.6,27.4,39.1,,,,,,,
32.9,29.0,40.0,,,,11.2,,,
32.7,,41.8,,,,,,,
32.3,25.3,41.7,,,51.6,8.7,,,
32.8,25.0,42.0,,,,9.8,,,
32.3,25.4,40.2,,,,14.6,,,
32.6,26.7,40.0,,,,12.4,,,
33.1,26.8,39.8,,,166.3,11.6,,,
33.4,29.0,41.5,,,108.6,12.0,,,
32.9,,,,,,,,,
31.5,23.6,39.7,,,,8.1,,,
31.7,25.0,40.3,,,,,,,
31.1,24.4,40.7,,,,11.4,,,
30.9,25.3,36.6,,,,7.7,,,
30.4,23.9,41.3,,,,10.3,,,
30.7,26.7,43.0,,,,11.8,,,
30.9,21.7,42.3,,,,,,,
31.5,24.0,40.0,,,,10.8,,,
30.3,25.0,36.3,,,,8.6,,,
30.4,25.8,37.7,,,,10.0,,,
30.8,22.6,36.9,,,,11.5,,,
30.4,,36.0,,,,,,,
30.1,24.3,35.6,,,,,,,
29.8,26.7,37.0,,,,,,,
29.7,24.3,37.3,,,,7.2,,,
29.3,24.0,37.9,,,,8.1,,,
28.1,20.6,37.6,,,,,,,
29.4,24.0,37.5,,,,11.7,,,
28.9,24.5,39.2,,,,,,,
30.2,22.1,39.8,,,71.9,9.9,,,
28.7,21.1,38.7,,,,8.8,,,
28.1,20.0,39.3,,,,8.1,,,
27.1,15.7,38.4,,,,10.4,,,
26.1,17.5,38.0,,,,,,,
27.2,18.3,36.7,,,,10.2,,,
28.6,20.8,37.0,,,,,,,
28.2,21.9,36.6,,,,9.4,,,
29.3,21.1,38.0,,,,8.7,,,
28.4,21.3,36.5,,,,8.8,,,
28.8,22.8,34.3,,,224.7,11.6,,,
28.4,25.5,36.4,,,,10.0,,,
28.2,25.1,37.9,,,,11.1,,,
26.9,19.5,35.9,,,,9.9,,,
26.9,23.8,36.5,,,,,,,
27.6,20.0,35.5,,,,10.6,,,
27.1,20.7,34.4,,,,,,,
27.5,21.6,35.7,,,,8.0,,,
27.6,23.6,36.5,,,,,,,
27.7,23.4,33.0,,,,10.6,,,
27.8,,33.1,,,,,,,
27.8,22.0,34.2,,,,,,,
27.1,22.7,33.4,,,250.0,10.1,,,
25.6,20.0,34.2,,,,10.4,,,
25.2,17.8,34.0,,,,,,,
24.8,16.5,35.9,,,,8.8,,,
25.1,16.7,34.5,,,,8.2,,,
24.6,,33.5,,,,,,,
25.0,17.7,35.4,,,,,,,
25.2,18.5,32.6,,,,,,,
24.8,19.3,32.3,,,,,,,
25.1,18.5,32.0,,,180.5,12.4,,,
23.4,,30.9,,,,,,,
24.4,17.1,34.2,,,,9.1,,,
23.7,18.0,30.5,,,,7.1,,,
24.2,18.2,29.0,,,,10.3,,,
25.0,19.7,31.8,,,,,,,
24.5,19.9,31.3,,,,9.3,,,
24.4,18.2,32.0,,,,9.6,,,
24.8,18.2,32.5,,,,,,,
22.9,18.7,28.7,,,,,,,
21.6,,27.0,,,,,,,
21.1,14.8,28.1,,,,7.6,,,
23.0,16.4,28.1,,,,8.5,,,
